"Indicador","Ano","UF","Numerador - Obitos em menores de 5 anos estimados","Denominador - Nascidos vivos estimados","Fator"
"MRT.1.05",2006,28,1132.0,38148.0,1000
"MRT.1.05",2006,29,7563.0,240010.0,1000
"MRT.1.05",2006,31,6295.0,281329.0,1000
"MRT.1.05",2006,32,932.0,53173.0,1000
"MRT.1.05",2006,33,3920.0,219891.0,1000
"MRT.1.05",2006,35,9428.0,607852.0,1000
"MRT.1.05",2006,41,2511.0,155973.0,1000
"MRT.1.05",2006,42,1264.0,85401.0,1000
"MRT.1.05",2006,43,2180.0,142644.0,1000
"MRT.1.05",2006,50,940.0,40651.0,1000
"MRT.1.05",2006,51,1300.0,55091.0,1000
"MRT.1.05",2006,52,2026.0,94309.0,1000
"MRT.1.05",2006,53,651.0,45353.0,1000
"MRT.1.05",2007,11,664.0,28091.0,1000
"MRT.1.05",2007,12,547.0,18756.0,1000
"MRT.1.05",2007,13,2116.0,82469.0,1000
"MRT.1.05",2007,14,240.0,10679.0,1000
"MRT.1.05",2007,15,4506.0,164269.0,1000
"MRT.1.05",2007,16,472.0,15577.0,1000
"MRT.1.05",2007,17,764.0,26688.0,1000
"MRT.1.05",2007,21,4319.0,143158.0,1000
"MRT.1.05",2007,22,1647.0,57252.0,1000
"MRT.1.05",2007,23,3290.0,142591.0,1000
"MRT.1.05",2007,24,1281.0,51526.0,1000
"MRT.1.05",2007,25,1704.0,62951.0,1000
"MRT.1.05",2007,26,3577.0,151569.0,1000
"MRT.1.05",2007,27,1768.0,61521.0,1000
"MRT.1.05",2007,28,905.0,36593.0,1000
"MRT.1.05",2007,29,6763.0,237030.0,1000
"MRT.1.05",2007,31,5575.0,271548.0,1000
"MRT.1.05",2007,32,871.0,52357.0,1000
"MRT.1.05",2007,33,3791.0,218319.0,1000
"MRT.1.05",2007,35,9127.0,598509.0,1000
"MRT.1.05",2007,41,2319.0,148870.0,1000
"MRT.1.05",2007,42,1212.0,82656.0,1000
"MRT.1.05",2007,43,1994.0,134221.0,1000
"MRT.1.05",2007,50,893.0,38594.0,1000
"MRT.1.05",2007,51,1170.0,52331.0,1000
"MRT.1.05",2007,52,1820.0,91020.0,1000
"MRT.1.05",2007,53,610.0,44293.0,1000
"MRT.1.05",2008,11,637.0,27603.0,1000
"MRT.1.05",2008,12,468.0,19015.0,1000
"MRT.1.05",2008,13,2118.0,83142.0,1000
"MRT.1.05",2008,14,262.0,11202.0,1000
"MRT.1.05",2008,15,4261.0,164047.0,1000
"MRT.1.05",2008,16,492.0,16863.0,1000
"MRT.1.05",2008,17,678.0,27211.0,1000
"MRT.1.05",2008,21,3763.0,139582.0,1000
